site_location,inspection_date,template_name,section,question,answer,notes,image_path
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Opening Checklist,Temperatures,Check Temp of Walk-In Cooler,34.5,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Opening Checklist,Temperatures,Check Temp of Walk-In Freezer,2,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Opening Checklist,Temperatures,Check Temp of Sushi package,36.8,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Opening Checklist,Sanitizer,Select Your Store Region,ABS-Safeway CA,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Opening Checklist,Sanitizer,Do Not Touch Or Replace any chemicals. If there is an issue please contact your regional manager.,TRUE,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Opening Checklist,Sanitizer,Does your Chemicals look like the ones above?,Yes,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Opening Checklist,Sanitizer,Upload a picture of the Chemicals,,,chemical.jpeg
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Opening Checklist,Sanitizer,Sanitizer bucket within range?,Yes,,bucket.jpeg
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi - Hot Food Cooling Log,Title Page,Site conducted,GBC ABS-VONS 0724,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi - Hot Food Cooling Log,Title Page,Conducted on,7:00 AM,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi - Hot Food Cooling Log,Title Page,Prepared by,GBC ABS-VONS 0724 19640 Beach Blvd,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi - Hot Food Cooling Log,Navigation,NEXTPAGE,NEXTPAGE,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi - Hot Food Cooling Log,Untitled Page,Did you Produce Hot Food Today?,No,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi - Sushi Batch Cooling Log,Title Page,Site conducted,GBC ABS-VONS 0724,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi - Sushi Batch Cooling Log,Title Page,Conducted on,7:00 AM,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi - Sushi Batch Cooling Log,Title Page,Prepared by,GBC ABS-VONS 0724 19640 Beach Blvd,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi - Sushi Batch Cooling Log,Navigation,NEXTPAGE,NEXTPAGE,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi - Sushi Batch Cooling Log,Sushi Batch Cooling,Did you have production today?,Yes,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi - Sushi Batch Cooling Log,Sushi Batch Cooling,How many packages in this batch?,29,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi - Sushi Batch Cooling Log,Sushi Batch Cooling,What is the average temperature of the rolls?,36.8,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi - Sushi Batch Cooling Log,Sushi Batch Cooling,Take a photo of Sushi Temperature,,,sushi temperature.jpeg
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi - Sushi Batch Cooling Log,Sushi Batch Cooling,Record you initials:,vt,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi - Sushi Rice pH Testing,Title Page,Site conducted,GBC ABS-VONS 0724,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi - Sushi Rice pH Testing,Title Page,Conducted on,7:00 AM,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi - Sushi Rice pH Testing,Title Page,Prepared by,GBC ABS-VONS 0724 19640 Beach Blvd,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi - Sushi Rice pH Testing,Navigation,NEXTPAGE,NEXTPAGE,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi - Sushi Rice pH Testing,pH Testing,Did you have production today?,Yes,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi - Sushi Rice pH Testing,pH Testing,What type of rice is being tested?,White Rice,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi - Sushi Rice pH Testing,pH Testing,What time is pH being tested,7:00 AM,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi - Sushi Rice pH Testing,pH Testing,How many cups of rice used for Rice Slurry?,4,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi - Sushi Rice pH Testing,pH Testing,How many cups of water used for Rice Slurry?,4,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi - Sushi Rice pH Testing,pH Testing,What is the pH of the Rice Slurry?,3.92,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi - Sushi Rice pH Testing,pH Testing,"Was the rice completely used, or was there left over rice that was discarded.",Discarded,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Closing Checklist,Title Page,Site conducted,GBC ABS-VONS 0724,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Closing Checklist,Title Page,Conducted on,5:00 PM,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Closing Checklist,Title Page,Prepared by,GBC ABS-VONS 0724 19640 Beach Blvd,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Closing Checklist,Navigation,NEXTPAGE,NEXTPAGE,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Closing Checklist,Closing Checklist,Did you have production today?,Yes,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Closing Checklist,Closing Checklist,Sneeze Guard,Yes,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Closing Checklist,Closing Checklist,Display Case,Yes,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Closing Checklist,Closing Checklist,Rice Cooker,Yes,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Closing Checklist,Closing Checklist,Mixers,Yes,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Closing Checklist,Closing Checklist,Knives,Yes,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Closing Checklist,Closing Checklist,Cutting Boards,Yes,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Closing Checklist,Closing Checklist,Prep Table,Yes,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Closing Checklist,Closing Checklist,Carts,Yes,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Closing Checklist,Closing Checklist,Bamboo Mats,Yes,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Closing Checklist,Closing Checklist,Prep Sink,Yes,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Closing Checklist,Closing Checklist,Light Fixtures,Yes,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Closing Checklist,Closing Checklist,BOHA Machine,Yes,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Closing Checklist,Closing Checklist,Sushi Rolling Machine (If Applicable),SKIP,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Closing Checklist,Closing Checklist,Sweep Floor,Yes,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Closing Checklist,Closing Checklist,Mop Floor,Yes,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Closing Checklist,Closing Checklist,Empty Trash,Yes,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Closing Checklist,Closing Checklist,Clean Display Case,Yes,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi Closing Checklist,Closing Checklist,Clean Reach in Coolers,Yes,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi 4 PM Checklist,Title Page,Site conducted,GBC ABS-VONS 0724,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi 4 PM Checklist,Title Page,Conducted on,4:00 PM,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi 4 PM Checklist,Title Page,Prepared by,GBC ABS-VONS 0724 19640 Beach Blvd,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi 4 PM Checklist,Navigation,NEXTPAGE,NEXTPAGE,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi 4 PM Checklist,Temperature,Did you have production today?,Yes,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi 4 PM Checklist,Temperatures,Check Temp of Reach-In Cooler,34.5,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi 4 PM Checklist,Temperatures,Check Temp of Reach-In Freezer,2,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi 4 PM Checklist,Temperatures,Check Temp of Display Case #1,34.5,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi 4 PM Checklist,Temperatures,Check Temp of Display Case #2,34.5,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi 4 PM Checklist,Temperatures,Check Temp of Walk-In Cooler,34.5,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi 4 PM Checklist,Temperatures,Check Temp of Walk-In Freezer,2,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi 4 PM Checklist,Temperatures,Check Temp of Sushi package,36.8,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi 4 PM Checklist,Sanitizer,Sanitizer bucket within range?,Yes,,bucket.jpeg
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi - 9AM Case Photos,Title Page,Site conducted,GBC ABS-VONS 0724,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi - 9AM Case Photos,Title Page,Conducted on,9:00 AM,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi - 9AM Case Photos,Title Page,Prepared by,GBC ABS-VONS 0724 19640 Beach Blvd,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi - 9AM Case Photos,Title Page,Location,Beach,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi - 9AM Case Photos,Navigation,NEXTPAGE,NEXTPAGE,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi - 9AM Case Photos,Case Photos,Display Case Photo,,,9am.jpeg
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi - 5PM Case Photos,Title Page,Site conducted,GBC ABS-VONS 0724,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi - 5PM Case Photos,Title Page,Conducted on,5:00 PM,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi - 5PM Case Photos,Title Page,Prepared by,GBC ABS-VONS 0724 19640 Beach Blvd,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi - 5PM Case Photos,Navigation,NEXTPAGE,NEXTPAGE,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi - 5PM Case Photos,Case Photos,Display Case Photo,,,5pm.jpeg
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi 1 PM Checklist,Title Page,Site conducted,GBC ABS-VONS 0724,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi 1 PM Checklist,Title Page,Conducted on,1:00 PM,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi 1 PM Checklist,Title Page,Prepared by,GBC ABS-VONS 0724 19640 Beach Blvd,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi 1 PM Checklist,Navigation,NEXTPAGE,NEXTPAGE,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi 1 PM Checklist,Temperature,Did you have production today?,Yes,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi 1 PM Checklist,Temperatures,Check Temp of Reach-In Cooler,34.5,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi 1 PM Checklist,Temperatures,Check Temp of Reach-In Freezer,2,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi 1 PM Checklist,Temperatures,Check Temp of Display Case #1,34.5,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi 1 PM Checklist,Temperatures,Check Temp of Display Case #2,34.5,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi 1 PM Checklist,Temperatures,Check Temp of Walk-In Cooler,34.5,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi 1 PM Checklist,Temperatures,Check Temp of Walk-In Freezer,2,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi 1 PM Checklist,Temperatures,Check Temp of Sushi package,36.8,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi 1 PM Checklist,Sanitizer,Sanitizer bucket within range?,Yes,,bucket.jpeg
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi 10 AM Checklist,Title Page,Site conducted,GBC ABS-VONS 0724,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi 10 AM Checklist,Title Page,Conducted on,10:00 AM,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi 10 AM Checklist,Title Page,Prepared by,GBC ABS-VONS 0724 19640 Beach Blvd,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi 10 AM Checklist,Navigation,NEXTPAGE,NEXTPAGE,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi 10 AM Checklist,Temperature,Did you have Production Today?,Yes,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi 10 AM Checklist,Temperatures,Check Temp of Reach-In Cooler,34.5,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi 10 AM Checklist,Temperatures,Check Temp of Reach-In Freezer,2,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi 10 AM Checklist,Temperatures,Check Temp of Display Case #1,34.5,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi 10 AM Checklist,Temperatures,Check Temp of Display Case #2,34.5,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi 10 AM Checklist,Temperatures,Check Temp of Walk-In Cooler,34.5,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi 10 AM Checklist,Temperatures,Check Temp of Walk-In Freezer,2,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi 10 AM Checklist,Temperatures,Check Temp of Sushi package,34.5,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi 10 AM Checklist,Sanitizer,Sanitizer bucket within range?,Yes,,bucket.jpeg
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi - 11AM Case Photos,Title Page,Site conducted,GBC ABS-VONS 0724,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi - 11AM Case Photos,Title Page,Conducted on,11:00 AM,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi - 11AM Case Photos,Title Page,Prepared by,GBC ABS-VONS 0724 19640 Beach Blvd,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi - 11AM Case Photos,Navigation,NEXTPAGE,NEXTPAGE,,
GBC ABS-VONS 0724,5/2/2026,Yummi Sushi - 11AM Case Photos,Case Photos,Display Case Photo,,,11am.jpeg
